epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,725.052,1.21125,2.33725,1.09774,0.00741,0.94444,0.74903,0.47695,0.94306,3.27011,0.94169,0.000651852,0.000651852,0.000651852
2,1432.7,1.15238,1.39054,1.01146,0.94352,0.92803,0.97313,0.67568,1.07148,1.93999,1.00392,0.00129241,0.00129241,0.00129241
3,2142.59,1.18692,1.24046,1.03659,0.97139,0.94326,0.98076,0.63853,1.14708,1.34243,1.045,0.00190657,0.00190657,0.00190657
4,2850.09,1.15467,1.08253,1.03568,0.93894,0.95556,0.97626,0.66711,1.12411,1.08904,1.04499,0.0018812,0.0018812,0.0018812
5,3539.76,1.12987,0.92626,1.01689,0.94324,0.96111,0.9788,0.67909,0.98348,0.86414,0.98258,0.0018416,0.0018416,0.0018416
6,4248.01,1.10357,0.86916,1.00774,0.97683,0.93697,0.98755,0.68694,0.98972,0.94921,0.96371,0.001802,0.001802,0.001802
7,4950.35,1.09008,0.80903,1.0084,0.98316,0.97276,0.9932,0.64932,1.14718,0.78915,1.00497,0.0017624,0.0017624,0.0017624
8,5643.93,1.12374,0.78193,1.01928,0.95392,0.97778,0.99109,0.71342,0.92822,0.76144,0.95994,0.0017228,0.0017228,0.0017228
9,6336.12,1.07593,0.72798,0.99791,0.94085,0.97206,0.983,0.64253,1.13125,0.7668,1.00729,0.0016832,0.0016832,0.0016832
10,7033.16,1.06361,0.70847,0.98986,0.97228,0.97449,0.99192,0.72782,0.94549,0.75166,0.95014,0.0016436,0.0016436,0.0016436
11,7719.11,0.99755,0.66144,0.96522,0.9833,0.98144,0.99439,0.74589,0.8584,0.55964,0.92253,0.001604,0.001604,0.001604
12,8404.3,1.0186,0.661,0.97008,0.9974,0.98333,0.99494,0.7288,0.88628,0.58046,0.93175,0.0015644,0.0015644,0.0015644
13,9091.06,1.01894,0.65422,0.97649,0.97013,0.98333,0.99446,0.74478,0.87705,0.52839,0.92106,0.0015248,0.0015248,0.0015248
14,9775.84,1.01395,0.63542,0.97433,0.98514,0.98889,0.994,0.75287,0.91565,0.54542,0.9357,0.0014852,0.0014852,0.0014852
15,10461.4,0.99817,0.62544,0.97171,0.99115,0.99444,0.99478,0.7589,0.88317,0.54337,0.92914,0.0014456,0.0014456,0.0014456
16,11171,0.97635,0.60157,0.96781,0.97074,0.99444,0.99337,0.76832,0.8434,0.52369,0.90335,0.001406,0.001406,0.001406
